도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),120.0,1890.0,1778.0,1925.0,1959.0,2278.0,2623.0,2777.0,2888.0,2646.0,2878.0,5.0,98.0,726.0,20200323
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),120.0,1716.0,1834.0,1987.0,2070.0,2476.0,3112.0,3310.0,3623.0,2900.0,3612.0,5.0,108.0,756.0,20200323
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),120.0,2149.0,2434.0,2674.0,2880.0,3016.0,3104.0,3137.0,3755.0,3470.0,3079.0,5.0,188.0,665.0,20200323
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),120.0,1783.0,1918.0,2166.0,2225.0,2439.0,2628.0,2723.0,2974.0,2747.0,2781.0,5.0,125.0,707.0,20200323
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),120.0,2063.0,2097.0,2203.0,2173.0,2208.0,2307.0,2319.0,2578.0,2396.0,2579.0,5.0,121.0,592.0,20200323
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),1056.0,2079.0,2120.0,2246.0,2283.0,2308.0,2415.0,2440.0,3740.0,3019.0,2939.0,5.0,132.0,942.0,20200407
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),1086.0,1725.0,1475.0,1835.0,1842.0,2394.0,3038.0,3155.0,3036.0,2540.0,3320.0,5.0,86.0,1017.0,20200407
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),1111.0,1403.0,1715.0,2051.0,2371.0,2806.0,3145.0,3318.0,3918.0,3200.0,3587.0,5.0,137.0,1019.0,20200407
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),1134.0,1177.0,1348.0,1719.0,1861.0,2576.0,3765.0,4156.0,3856.0,2823.0,4393.0,5.0,87.0,1105.0,20200407
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),1080.0,1602.0,1691.0,1973.0,2133.0,2420.0,2813.0,2838.0,3014.0,2565.0,3029.0,5.0,115.0,1060.0,20200407
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),1080.0,1950.0,1920.0,2178.0,2246.0,2378.0,2391.0,2534.0,2985.0,2560.0,2791.0,5.0,126.0,946.0,20200407
